"","DATE","Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec","YEARMODA","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
"77",1973-03-18 12:00:00,1973-03-18 12:00:00,1973,3,18,5,8,6.389,1.27,19730318,"original","original",FALSE,FALSE
"78",1973-03-19 12:00:00,1973-03-19 12:00:00,1973,3,19,3,8,5,0,19730319,"original","original",FALSE,FALSE
"79",1973-03-20 12:00:00,1973-03-20 12:00:00,1973,3,20,2,9,5.778,0,19730320,"original","original",FALSE,FALSE
"80",1973-03-21 12:00:00,1973-03-21 12:00:00,1973,3,21,2,11,6.5,0,19730321,"original","original",FALSE,FALSE
"81",1973-03-22 12:00:00,1973-03-22 12:00:00,1973,3,22,-2,15,5.889,0,19730322,"original","original",FALSE,FALSE
"82",1973-03-23 12:00:00,1973-03-23 12:00:00,1973,3,23,-1,18,8.056,0,19730323,"original","original",FALSE,FALSE
"83",1973-03-24 12:00:00,1973-03-24 12:00:00,1973,3,24,1,21,11.056,0,19730324,"original","original",FALSE,FALSE
"84",1973-03-25 12:00:00,1973-03-25 12:00:00,1973,3,25,2,14,8.278,1.016,19730325,"original","original",FALSE,FALSE
"85",1973-03-26 12:00:00,1973-03-26 12:00:00,1973,3,26,1,14,8,0.254,19730326,"original","original",FALSE,FALSE
"86",1973-03-27 12:00:00,1973-03-27 12:00:00,1973,3,27,5,9,7.444,6.096,19730327,"original","original",FALSE,FALSE
"87",1973-03-28 12:00:00,1973-03-28 12:00:00,1973,3,28,2,12,6.833,0,19730328,"original","original",FALSE,FALSE
"88",1973-03-29 12:00:00,1973-03-29 12:00:00,1973,3,29,-1,12,5.556,0,19730329,"original","original",FALSE,FALSE
"89",1973-03-30 12:00:00,1973-03-30 12:00:00,1973,3,30,-2,13,6.111,0,19730330,"original","original",FALSE,FALSE
"90",1973-03-31 12:00:00,1973-03-31 12:00:00,1973,3,31,1,12,7.333,0,19730331,"original","original",FALSE,FALSE
"91",1973-04-01 12:00:00,1973-04-01 12:00:00,1973,4,1,-1,10,6.111,0,19730401,"original","original",FALSE,FALSE
"92",1973-04-02 12:00:00,1973-04-02 12:00:00,1973,4,2,4,10,6.5,5.588,19730402,"original","original",FALSE,FALSE
"93",1973-04-03 12:00:00,1973-04-03 12:00:00,1973,4,3,1,7,4.056,1.27,19730403,"original","original",FALSE,FALSE
"94",1973-04-04 12:00:00,1973-04-04 12:00:00,1973,4,4,-4,10,4.333,0,19730404,"original","original",FALSE,FALSE
"95",1973-04-05 12:00:00,1973-04-05 12:00:00,1973,4,5,7,11,9.333,2.032,19730405,"original","original",FALSE,FALSE
"96",1973-04-06 12:00:00,1973-04-06 12:00:00,1973,4,6,6,11,8.611,1.016,19730406,"original","original",FALSE,FALSE
"97",1973-04-07 12:00:00,1973-04-07 12:00:00,1973,4,7,3,8,5.111,2.54,19730407,"original","original",FALSE,FALSE
"98",1973-04-08 12:00:00,1973-04-08 12:00:00,1973,4,8,-1,8,3.944,0,19730408,"original","original",FALSE,FALSE
"99",1973-04-09 12:00:00,1973-04-09 12:00:00,1973,4,9,-4,9,3.556,0,19730409,"original","original",FALSE,FALSE
"100",1973-04-10 12:00:00,1973-04-10 12:00:00,1973,4,10,3,8,5.056,0,19730410,"original","original",FALSE,FALSE
"101",1973-04-11 12:00:00,1973-04-11 12:00:00,1973,4,11,3,7,4.889,3.048,19730411,"original","original",FALSE,FALSE
"102",1973-04-12 12:00:00,1973-04-12 12:00:00,1973,4,12,1,6,3.222,7.112,19730412,"original","original",FALSE,FALSE
"103",1973-04-13 12:00:00,1973-04-13 12:00:00,1973,4,13,-3,8,2.278,1.016,19730413,"original","original",FALSE,FALSE
"104",1973-04-14 12:00:00,1973-04-14 12:00:00,1973,4,14,0,9,4.722,0,19730414,"original","original",FALSE,FALSE
"105",1973-04-15 12:00:00,1973-04-15 12:00:00,1973,4,15,3,9,5.611,4.064,19730415,"original","original",FALSE,FALSE
"106",1973-04-16 12:00:00,1973-04-16 12:00:00,1973,4,16,-1,10,5.889,0.254,19730416,"original","original",FALSE,FALSE
"107",1973-04-17 12:00:00,1973-04-17 12:00:00,1973,4,17,6,11,8.222,2.54,19730417,"original","original",FALSE,FALSE
"108",1973-04-18 12:00:00,1973-04-18 12:00:00,1973,4,18,4,9,6.389,12.954,19730418,"original","original",FALSE,FALSE
"109",1973-04-19 12:00:00,1973-04-19 12:00:00,1973,4,19,2,8,4.167,11.938,19730419,"original","original",FALSE,FALSE
"110",1973-04-20 12:00:00,1973-04-20 12:00:00,1973,4,20,1,9,3.833,7.112,19730420,"original","original",FALSE,FALSE
"111",1973-04-21 12:00:00,1973-04-21 12:00:00,1973,4,21,0,10,4.889,2.286,19730421,"original","original",FALSE,FALSE
"112",1973-04-22 12:00:00,1973-04-22 12:00:00,1973,4,22,-1,14,7.111,0,19730422,"original","original",FALSE,FALSE
"113",1973-04-23 12:00:00,1973-04-23 12:00:00,1973,4,23,3,14,8.778,1.524,19730423,"original","original",FALSE,FALSE
"114",1973-04-24 12:00:00,1973-04-24 12:00:00,1973,4,24,5,18,11.278,0,19730424,"original","original",FALSE,FALSE
"115",1973-04-25 12:00:00,1973-04-25 12:00:00,1973,4,25,4,16,9.889,0,19730425,"original","original",FALSE,FALSE
"116",1973-04-26 12:00:00,1973-04-26 12:00:00,1973,4,26,-1,16,8.667,0,19730426,"original","original",FALSE,FALSE
"117",1973-04-27 12:00:00,1973-04-27 12:00:00,1973,4,27,3,19,11.111,0,19730427,"original","original",FALSE,FALSE
"118",1973-04-28 12:00:00,1973-04-28 12:00:00,1973,4,28,6,14,10.833,2.032,19730428,"original","original",FALSE,FALSE
"119",1973-04-29 12:00:00,1973-04-29 12:00:00,1973,4,29,10,14,11.778,7.874,19730429,"original","original",FALSE,FALSE
"120",1973-04-30 12:00:00,1973-04-30 12:00:00,1973,4,30,4,19,13.667,3.048,19730430,"original","original",FALSE,FALSE
"121",1973-05-01 12:00:00,1973-05-01 12:00:00,1973,5,1,7,18,12.944,2.032,19730501,"original","original",FALSE,FALSE
"122",1973-05-02 12:00:00,1973-05-02 12:00:00,1973,5,2,7,15,10.278,2.032,19730502,"original","original",FALSE,FALSE
"123",1973-05-03 12:00:00,1973-05-03 12:00:00,1973,5,3,10,24,16.389,0,19730503,"original","original",FALSE,FALSE
"124",1973-05-04 12:00:00,1973-05-04 12:00:00,1973,5,4,12,22,16.944,4.064,19730504,"original","original",FALSE,FALSE
"125",1973-05-05 12:00:00,1973-05-05 12:00:00,1973,5,5,11,25,17.222,26.924,19730505,"original","original",FALSE,FALSE
"126",1973-05-06 12:00:00,1973-05-06 12:00:00,1973,5,6,10,19,14.167,0,19730506,"original","original",FALSE,FALSE
"127",1973-05-07 12:00:00,1973-05-07 12:00:00,1973,5,7,8,14,11.611,4.064,19730507,"original","original",FALSE,FALSE
"128",1973-05-08 12:00:00,1973-05-08 12:00:00,1973,5,8,5,14,8.778,2.032,19730508,"original","original",FALSE,FALSE
"129",1973-05-09 12:00:00,1973-05-09 12:00:00,1973,5,9,7,13,10.056,5.08,19730509,"original","original",FALSE,FALSE
"130",1973-05-10 12:00:00,1973-05-10 12:00:00,1973,5,10,8,14,10.778,1.016,19730510,"original","original",FALSE,FALSE
"131",1973-05-11 12:00:00,1973-05-11 12:00:00,1973,5,11,2,14,8.611,0,19730511,"original","original",FALSE,FALSE
"132",1973-05-12 12:00:00,1973-05-12 12:00:00,1973,5,12,0,17,9,0,19730512,"original","original",FALSE,FALSE
"133",1973-05-13 12:00:00,1973-05-13 12:00:00,1973,5,13,3,19,12.111,0,19730513,"original","original",FALSE,FALSE
"134",1973-05-14 12:00:00,1973-05-14 12:00:00,1973,5,14,6,14,10.722,0,19730514,"original","original",FALSE,FALSE
"135",1973-05-15 12:00:00,1973-05-15 12:00:00,1973,5,15,3,14,9.111,0.254,19730515,"original","original",FALSE,FALSE
"136",1973-05-16 12:00:00,1973-05-16 12:00:00,1973,5,16,0,18,10.111,0,19730516,"original","original",FALSE,FALSE
"137",1973-05-17 12:00:00,1973-05-17 12:00:00,1973,5,17,5,20,12.944,0,19730517,"original","original",FALSE,FALSE
"138",1973-05-18 12:00:00,1973-05-18 12:00:00,1973,5,18,8,20,14.056,0,19730518,"original","original",FALSE,FALSE
"139",1973-05-19 12:00:00,1973-05-19 12:00:00,1973,5,19,8,24,16.778,0,19730519,"original","original",FALSE,FALSE
"140",1973-05-20 12:00:00,1973-05-20 12:00:00,1973,5,20,12,21,16.778,6.096,19730520,"original","original",FALSE,FALSE
"141",1973-05-21 12:00:00,1973-05-21 12:00:00,1973,5,21,10,23,16.5,2.032,19730521,"original","original",FALSE,FALSE
"142",1973-05-22 12:00:00,1973-05-22 12:00:00,1973,5,22,10,23,17,0.254,19730522,"original","original",FALSE,FALSE
"143",1973-05-23 12:00:00,1973-05-23 12:00:00,1973,5,23,13,21,16.944,3.048,19730523,"original","original",FALSE,FALSE
"144",1973-05-24 12:00:00,1973-05-24 12:00:00,1973,5,24,11,15,13,2.286,19730524,"original","original",FALSE,FALSE
"145",1973-05-25 12:00:00,1973-05-25 12:00:00,1973,5,25,10,19,14.444,0,19730525,"original","original",FALSE,FALSE
"146",1973-05-26 12:00:00,1973-05-26 12:00:00,1973,5,26,6,24,15.278,0,19730526,"original","original",FALSE,FALSE
"147",1973-05-27 12:00:00,1973-05-27 12:00:00,1973,5,27,7,24,16.944,0,19730527,"original","original",FALSE,FALSE
"148",1973-05-28 12:00:00,1973-05-28 12:00:00,1973,5,28,8,25,17.944,0,19730528,"original","original",FALSE,FALSE
"149",1973-05-29 12:00:00,1973-05-29 12:00:00,1973,5,29,10,18,13.833,2.032,19730529,"original","original",FALSE,FALSE
"150",1973-05-30 12:00:00,1973-05-30 12:00:00,1973,5,30,9,18,13.722,7.112,19730530,"original","original",FALSE,FALSE
"151",1973-05-31 12:00:00,1973-05-31 12:00:00,1973,5,31,14,23,18.444,6.096,19730531,"original","original",FALSE,FALSE
"152",1973-06-01 12:00:00,1973-06-01 12:00:00,1973,6,1,16,20,17.5,10.922,19730601,"original","original",FALSE,FALSE
"153",1973-06-02 12:00:00,1973-06-02 12:00:00,1973,6,2,8,17,13.889,2.032,19730602,"original","original",FALSE,FALSE
"154",1973-06-03 12:00:00,1973-06-03 12:00:00,1973,6,3,7,19,14.278,0,19730603,"original","original",FALSE,FALSE
"155",1973-06-04 12:00:00,1973-06-04 12:00:00,1973,6,4,6,20,13.889,0,19730604,"original","original",FALSE,FALSE
"156",1973-06-05 12:00:00,1973-06-05 12:00:00,1973,6,5,8,20,14.222,0,19730605,"original","original",FALSE,FALSE
"157",1973-06-06 12:00:00,1973-06-06 12:00:00,1973,6,6,4,21,14.5,0,19730606,"original","original",FALSE,FALSE
"158",1973-06-07 12:00:00,1973-06-07 12:00:00,1973,6,7,7,21,14.389,0.254,19730607,"original","original",FALSE,FALSE
"159",1973-06-08 12:00:00,1973-06-08 12:00:00,1973,6,8,6,21,14.556,0,19730608,"original","original",FALSE,FALSE
"160",1973-06-09 12:00:00,1973-06-09 12:00:00,1973,6,9,11,22,17.167,0,19730609,"original","original",FALSE,FALSE
"161",1973-06-10 12:00:00,1973-06-10 12:00:00,1973,6,10,14,19,16.389,0.254,19730610,"original","original",FALSE,FALSE
"162",1973-06-11 12:00:00,1973-06-11 12:00:00,1973,6,11,12,18,15.444,0.254,19730611,"original","original",FALSE,FALSE
"163",1973-06-12 12:00:00,1973-06-12 12:00:00,1973,6,12,10,26,18.722,0,19730612,"original","original",FALSE,FALSE
"164",1973-06-13 12:00:00,1973-06-13 12:00:00,1973,6,13,13,24,18.278,0,19730613,"original","original",FALSE,FALSE
"165",1973-06-14 12:00:00,1973-06-14 12:00:00,1973,6,14,5,19,13.611,0,19730614,"original","original",FALSE,FALSE
"166",1973-06-15 12:00:00,1973-06-15 12:00:00,1973,6,15,5,22,14.722,0,19730615,"original","original",FALSE,FALSE
"167",1973-06-16 12:00:00,1973-06-16 12:00:00,1973,6,16,8,26,18,0,19730616,"original","original",FALSE,FALSE
"168",1973-06-17 12:00:00,1973-06-17 12:00:00,1973,6,17,12,28,20.889,0,19730617,"original","original",FALSE,FALSE
"169",1973-06-18 12:00:00,1973-06-18 12:00:00,1973,6,18,14,24,18.611,0.254,19730618,"original","original",FALSE,FALSE
"170",1973-06-19 12:00:00,1973-06-19 12:00:00,1973,6,19,10,26,19.611,0,19730619,"original","original",FALSE,FALSE
"171",1973-06-20 12:00:00,1973-06-20 12:00:00,1973,6,20,14,28,19.722,0,19730620,"original","original",FALSE,FALSE
"172",1973-06-21 12:00:00,1973-06-21 12:00:00,1973,6,21,14,25,18.111,0,19730621,"original","original",FALSE,FALSE
"173",1973-06-22 12:00:00,1973-06-22 12:00:00,1973,6,22,10,24,17.944,0,19730622,"original","original",FALSE,FALSE
"174",1973-06-23 12:00:00,1973-06-23 12:00:00,1973,6,23,13,25,18.111,0.254,19730623,"original","original",FALSE,FALSE
"175",1973-06-24 12:00:00,1973-06-24 12:00:00,1973,6,24,15,25,17.722,6.096,19730624,"original","original",FALSE,FALSE
